Campaign,StartTime,LCStartCadence,LCEndCadence,EndTime,SCStartCadence,SCEndCadence
14,2457905.712835648,145045.0,4339810.0,2457905.712835648,145045.0,4339810.0
13,2457820.5660416665,140878.0,4214800.0,2457820.5660416665,140878.0,4214800.0
12,2457738.361678241,136855.0,4094110.0,2457738.361678241,136855.0,4094110.0
11,2457656.300347222,132839.0,3973630.0,2457656.300347222,132839.0,3973630.0
112,2457682.761863426,134134.0,4012480.0,2457682.761863426,134134.0,4012480.0
111,2457576.3232523147,128925.0,3856210.0,2457576.3232523147,128925.0,3856210.0
102,2457582.5759375,129231.0,3865390.0,2457582.5759375,129231.0,3865390.0
101,2457603.7860069443,130269.0,3896530.0,2457603.7860069443,130269.0,3896530.0
92,2457501.0867939815,125243.0,3745750.0,2457501.0867939815,125243.0,3745750.0
91,2457531.1241319445,126713.0,3789850.0,2457531.1241319445,126713.0,3789850.0
8,2457392.0530671296,119907.0,3585670.0,2457392.0530671296,119907.0,3585670.0
7,2457300.2448958335,115414.0,3450880.0,2457300.2448958335,115414.0,3450880.0
6,2457217.447962963,111362.0,3329320.0,2457217.447962963,111362.0,3329320.0
5,2457139.595971632,107552.0,3215020.0,2457139.595971632,107552.0,3215020.0
4,2457061.7848284375,103744.0,2976430.0,2457061.7848284375,103744.0,2976430.0
3,2456977.087563831,99599.0,2976430.0,2456977.087563831,99599.0,2976430.0
2,2456893.2689351854,95497.0,2853370.0,2456893.2689351854,95497.0,2853370.0
1,2456808.1630092594,91332.0,2728420.0,2456808.1630092594,91332.0,2728420.0
0,2456728.5128472224,87434.0,2611480.0,2456728.5128472224,87434.0,2611480.0
E,2456693.0401157406,85698.0,2559400.0,2456693.0401157406,85698.0,2559400.0
