NAMES,STRING,campaign
"['11351 Leucus', '1997 TS25', 'Leucus']",Leucus,111|112
"['Siding Spring']",2013 A1 (Siding Springs),2
"['67P', 'Churyumov-Gerasimenko']",67P/Churyumov-Gerasimenko,10
"['2001 DU87', '63291']",2001 DU87,111|112
"['156085', '2001 SE182']",2001 SE182,111|112
"['1999 XM193', '20739']",1999 XM193,111|112
"['2001 OB100', '39301']",2001 OB100,111|112
"['1038 Tuckia', '1924 TK', 'Tuckia']",Tuckia,111|112
"['1999 CL153', '59355']",1999 CL153,111|112
"['1977 UB', '2060 Chiron', 'Chiron']",Chiron,12
"['118401 LINEAR', '1999 RE70']",176P,12
"['228P', 'LINEAR']",228P,12
"['1981 EK47', '30764']",1981 EK47,12
"['2001 UK113', '55505']",2001 UK113,12
"['193449', '2000 WW146']",2000 WW146,13
"['152133', '2004 TN126']",2004 TN126,10
"['162352', '1999 XS226']",1999 XS226,111|112
"['1992 ET32', '43818']",1992 ET32,10
"['1998 YW1', '21602 Ialmenus', 'Ialmenus']",Ialmenus,111|112
"['124174', '2001 OR24']",2001 OR24,111|112
"['90P', 'Gehrels 1']",90P,12
"['2000 DV76', '92284']",2000 DV76,10
"['2000 DY4', '41427']",2000 DY4,111|112
"['148227', '2000 DP99']",2000 DP99,10
"['246P', 'NEAT']",246P,13
"['17P', 'Holmes']",17P,14
"['1998 XA13', '23968']",1998 XA13,111|112
"['158158', '2001 OP94']",2001 OP94,111|112
"['15529', '2000 AA80']",Trojan.15529,6
"['130453', '2000 QT59']",2000 QT59,12
"['2001 TG218', '83801']",2001 TG218,12
"['11397', '1998 XX93']",1998 XX93,111|112
"['16232 Chijagerbs', '2000 ED152', 'Chijagerbs']",Chijagerbs,10
"['2002 EX154', '258683']",2002 EX154,111|112
"['1998 HX147', '31338 Lipperhey', 'Lipperhey']",Lipperhey,12
"['177943', '2005 VZ17']",2005 VZ17,10
"['13372', '1998 VU6']",Trojan.13372,6
"['2000 DS8', '92281']",2000 DS8,10
"['2008 SG182', '207892']",2008 SG182,111|112
"['2001 PJ4', '217032']",2001 PJ4,111|112
"['2001 OB100', '39301']",Trojan.39301,6
"['1998 TV33', '23939']",Trojan.23939,6
"['13366', '1998 US24']",Trojan.13366,6
"['2008 RR51', '216411']",2008 RR51,12
"['2001 SM251', '77893']",Trojan.2001 SM251,7
"['2001 OH76', '77734']",2001 OH76,111|112
"['1993 TE40', '58279 Kamerlingh', 'Kamerlingh']",Kamerlingh,12
"['2001 SM251', '77893']",2001 SM251,12
"['2000 KJ1', '27561']",2000 KJ1,111|112
['Enceladus'],Enceladus,111|112
"['142470', '2002 TE13']",2002 TE13,111|112
"['1973 SZ', '39463 Phyleus', 'Phyleus']",Phyleus,111|112
"['161606', '2005 UR38']",2005 UR38,10
"['1988 RO12', '90704']",1988 RO12,10
"['2001 CX27', '24534']",Trojan.24534,6
"['1989 VW', '7284']",1989 VW,10
"['1989 CW1', '5209']",1989 CW1,111|112
"['1998 KZ12', '65989']",1998 KZ12,12
"['18263 Anchialos', '5167 T-2', 'Anchialos']",Anchialos,111|112
"['2000 BQ21', '60401']",2000 BQ21,111|112
"['141523', '2002 EQ149']",2002 EQ149,111|112
"['16152', '1999 YN12']",Trojan.16152,6
"['2008 VE11', '403237']",2008 VE11,13
"['2009 QB22', '264029']",2009 QB22,111|112
"['2001 OG13', '46302']",Trojan.46302,6
"['107804', '2001 FV58']",2001 FV58,111|112
"['2001 OG13', '46302']",2001 OG13,111|112
"['2001 TQ142', '77903']",2001 TQ142,12
"['2002 FU36', '65257']",Trojan.65257,6
"['2002 GD118', '226053']",2002 GD118,111|112
"['899', 'Neptune']",Neptune,3
"['1989 BL', '5123']",Trojan.5123,6
"['1989 CK1', '4836 Medon', 'Medon']",Medon,111|112
"['50P', 'Arend']",50P,14
"['195204', '2002 CR306']",2002 CR306,13
"['2008 SY172', '228102']",Trojan.228102,6
"['2001 TL98', '83722']",2001 TL98,12
"['1996 RJ33', '58480']",Trojan.58480,6
"['1990 DK', '5436', '5436 Eumelos']",Trojan.5436,6
"['2002 EU106', '65240']",Trojan.65240,6
"['134193', '2005 CB68']",Trojan.2005 CB68,7
"['2001 QW127', '51930']",Trojan.51930,6
"['113224', '2002 RN121']",Trojan.113224,6
"['13185', '13185 Agasthenes', '1996 TH52']",Trojan.13185,6
"['2016 A3', 'P/2016 A3']",P2016 A3,14
"['12238', '12238 Actor', '1987 YU1']",Trojan.12238,6
"['2001 QC20', '99276']",Trojan.99276,6
"['1994 PV24', '8550', '8550 Hesiodos']",Trojan.8550,6
"['113224', '2002 RN121']",2002 RN121,111|112
"['193354', '2000 UX34']",2000 UX34,13
"['13379', '1998 WX9']",Trojan.13379,6
"['1988 SQ', '7174 Semois', 'Semois']",Semois,14
"['2008 DN52', '341841']",2008 DN52,10
"['331P', 'Gibbs']",331P,14
"['2002 GL77', '83984']",Trojan.83984,6
"['129602', '1997 WA12']",Trojan.129602,6
"['2001 RS52', '313206']",2001 RS52,111|112
"['1998 TC31', '59049']",Trojan.59049,6
"['2007 RL162', '228009']",2007 RL162,111|112
"['1998 VD30', '23958']",Trojan.23958,6
"['1978 SA3', '3655', '3655 Eupraksia']",Trojan.3655,6
"['2001 AH11', '39270']",Trojan.39270,6
"['1985 QX4', '7394 Xanthomalitia', 'Xanthomalitia']",Xanthomalitia,12
"['175471', '2006 QA138']",2006 QA138,111|112
"['2000 QG199', '98002']",2000 QG199,12
"['1971 UJ', '3514 Hooke', 'Hooke']",Hooke,111|112
"['13229 Echion', '1997 VB1', 'Echion']",Echion,111|112
"['174077', '2002 FP21']",174077,14
"['1999 RS150', '31819']",31819,14
"['19034 Santorini', '2554 P-L', 'Santorini']",Santorini,13
"['2001 BU42', '88227']",Trojan.88227,6
"['2002 NA28', '78159']",Trojan.78159,6
"['12974', '12974 Halitherses', '1973 SB2']",Trojan.12974,6
"['18071', '2000 BA27']",2000 BA27,111|112
"['2001 CD23', '88241']",Trojan.88241,6
"['2000 AN146', '23135']",2000 AN146,111|112
"['2000 AC115', '24357']",Trojan.24357,6
"['141577', '2002 GS149']",2002 GS149,111|112
['799'],Uranus,8
"['2001 BD25', '63239']",Trojan.63239,6
"['2001 EN12', '57041']",Trojan.57041,6
"['185290', '2006 UB219']",2006 UB219,13
"['1998 WA15', '21599']",Trojan.21599,6
"['16843', '1997 XX3']",1997 XX3,12
"['1998 VL27', '21593']",Trojan.21593,6
"['202P', 'Scotti']",202P,14
"['1997 TV28', '35363']",Trojan.35363,6
"['15626', '2000 HR50']",Trojan.15626,6
"['2000 AU31', '22056']",Trojan.22056,6
"['2001 QK43', '217039']",2001 QK43,111|112
"['13062 Podarkes', '1991 HN', 'Podarkes']",Podarkes,111|112
"['2001 CB35', '24537']",Trojan.24537,6
"['2000 QG199', '98002']",Trojan.2000 QG199,7
"['1988 BY1', '5028', '5028 Halaesus']",Trojan.5028,6
"['131502', '2001 SW273']",2001 SW273,12
"['1973 SE1', '8241', '8241 Agrius']",Trojan.8241,6
"['2002 EG', '65210', '65210 Stichius']",Trojan.65210,6
"['2000 CL9', '86435']",86435,14
"['2002 EL153', '57920']",2002 EL153,111|112
"['1999 WS4', '38574']",Trojan.38574,6
"['2007 RJ283', '236878']",2007 RJ283,111|112
"['11251', '11251 Icarion', '1973 SN1']",Trojan.11251,6
"['103508', '2000 BV1']",2000 BV1,111|112
"['16915 Bredthauer', '1998 FR10', 'Bredthauer']",Bredthauer,12
"['2000 QK57', '76811']",2000 QK57,12
"['2001 CX6', '39286']",Trojan.39286,6
"['1986 WD', '4035']",Trojan.4035,6
"['2000 KE9', '51284']",2000 KE9,111|112
"['2000 AX180', '60381']",60381,14
"['2008 SA192', '228103']",2008 SA192,111|112
"['119942', '2002 GJ129']",119942,14
"['2004 CV2', '90456']",2004 CV2,12
"['141557', '2002 GY69']",141557,14
"['1893 AJ', '373', '373 Melusina']",373,14
"['1749', '1749 Telamon', '1949 SB']",Trojan.1749,6
"['116567', '2004 BV84']",116567,14
"['606', 'Saturn']",Titan,111|112
"['1143', '1143 Odysseus', '1930 BH']",Trojan.1143,6
"['2002 ES46', '65227']",Trojan.65227,6
"['13035', '1989 UA6']",13035,14
"['2002 EU34', '65223']",Trojan.65223,6
"['2002 XF45', '218241']",2002 XF45,111|112
"['2010 XP50', '353363']",Trojan.353363,6
"['1973 SQ1', '5244', '5244 Amphilochos']",Trojan.5244,6
['Caliban'],Caliban,8
"['1999U3', 'Prospero']",Prospero,8
"['2008 TJ126', '315949']",2008 TJ126,111|112
"['15651 Tlepolemos', '9612 P-L', 'Tlepolemos']",Tlepolemos,111|112
"['12658 Peiraios', '1973 SL', 'Peiraios']",Peiraios,111|112
"['111113', '2001 VK85']",111113,14
"['146961', '2002 GH129']",146961,14
"['131635', '2001 XW71']",131635,14
"['1985 VS', '3801', '3801 Thrasymedes']",Trojan.3801,6
"['2000 AQ231', '26486']",2000 AQ231,111|112
"['2001 DH1', '208290']",208290,14
"['1992 HS3', '5652', '5652 Amphimachus']",Trojan.5652,6
"['174074', '2002 EO133']",174074,14
"['1997 XR13', '52645']",1997 XR13,111|112
"['1998 UH16', '23947']",Trojan.23947,6
"['10989', '10989 Dolios', '1973 SL1']",Trojan.10989,6
"['2006 UW322', '207644']",207644,14
"['200046', '2007 TP371']",2007 TP371,111|112
