STRING,NAME,NAMES,ap_start,ap_end,count,campaign
Leucus,Leucus,['11351 Leucus' '1997 TS25' 'Leucus'],200125327,200145290,2999,111|112
Comet C/2013 A1 (Siding Springs),162P,['162P' 'Siding Spring'],200001787,200004369,2583,2
67P/Churyumov-Gerasimenko,67P,['67P' 'Churyumov-Gerasimenko'],200081804,200084003,2200,10
2001 DU87,2001 DU87,['2001 DU87' '63291'],200113657,200134731,1700,111|112
2001 SE182,2001 SE182,['156085' '2001 SE182'],200118031,200138874,1592,111|112
1999 XM193,1999 XM193,['1999 XM193' '20739'],200109156,200131695,1573,111|112
2001 OB100,2001 OB100,['2001 OB100' '39301'],200114979,200135824,1566,111|112
Tuckia,Tuckia,['1038 Tuckia' '1924 TK' 'Tuckia'],200128178,200147343,1464,111|112
1999 CL153,1999 CL153,['1999 CL153' '59355'],200108462,200130951,1373,111|112
Chiron,Chiron,['1977 UB' '2060 Chiron' 'Chiron'],200161173,200164266,1350,12
176P,1999 RE70,['118401 LINEAR' '1999 RE70'],200147538,200148831,1294,12
228P,228P,['228P' 'LINEAR'],200158279,200159543,1265,12
1981 EK47,1981 EK47,['1981 EK47' '30764'],200148832,200150087,1256,12
2001 UK113,2001 UK113,['2001 UK113' '55505'],200155327,200156554,1228,12
2000 WW146,2000 WW146,['193449' '2000 WW146'],200169492,200170705,1214,13
2004 TN126,2004 TN126,['152133' '2004 TN126'],200077913,200079072,1160,10
1999 XS226,1999 XS226,['162352' '1999 XS226'],200109985,200132251,1115,111|112
1992 ET32,1992 ET32,['1992 ET32' '43818'],200072855,200073967,1113,10
Ialmenus,Ialmenus,['1998 YW1' '21602 Ialmenus' 'Ialmenus'],200124693,200143749,1112,111|112
2001 OR24,2001 OR24,['124174' '2001 OR24'],200116820,200137412,1112,111|112
90P,90P,['90P' 'Gehrels 1'],200159544,200160634,1091,12
2000 DV76,2000 DV76,['2000 DV76' '92284'],200076283,200077338,1056,10
2000 DY4,2000 DY4,['2000 DY4' '41427'],200111766,200133457,988,111|112
2000 DP99,2000 DP99,['148227' '2000 DP99'],200074497,200075480,984,10
246P,246P,['246P' 'NEAT'],200172597,200173563,967,13
17P,17P,['17P' 'Holmes'],200176225,200177187,963,14
1998 XA13,1998 XA13,['1998 XA13' '23968'],200107527,200129842,955,111|112
2001 OP94,2001 OP94,['158158' '2001 OP94'],200116360,200136853,921,111|112
Trojan.15529,15529,['15529' '2000 AA80'],200046167,200047086,920,6
2000 QT59,2000 QT59,['130453' '2000 QT59'],200151470,200152384,915,12
2001 TG218,2001 TG218,['2001 TG218' '83801'],200153529,200154436,908,12
1998 XX93,1998 XX93,['11397' '1998 XX93'],200108007,200130272,885,111|112
Chijagerbs,Chijagerbs,['16232 Chijagerbs' '2000 ED152' 'Chijagerbs'],200084012,200084870,859,10
2002 EX154,2002 EX154,['2002 EX154' '258683'],200119241,200139715,832,111|112
Lipperhey,Lipperhey,['1998 HX147' '31338 Lipperhey' 'Lipperhey'],200163044,200163874,831,12
2005 VZ17,2005 VZ17,['177943' '2005 VZ17'],200079669,200080499,831,10
Trojan.13372,13372,['13372' '1998 VU6'],200044895,200045697,803,6
2000 DS8,2000 DS8,['2000 DS8' '92281'],200075481,200076282,802,10
2008 SG182,2008 SG182,['2008 SG182' '207892'],200122158,200141840,778,111|112
2001 PJ4,2001 PJ4,['2001 PJ4' '217032'],200117373,200137794,763,111|112
Trojan.39301,39301,['2001 OB100' '39301'],200053051,200053781,731,6
Trojan.23939,23939,['1998 TV33' '23939'],200049196,200049925,730,6
Trojan.13366,13366,['13366' '1998 US24'],200044184,200044894,711,6
2008 RR51,2008 RR51,['2008 RR51' '216411'],200156943,200157633,691,12
Trojan.2001 SM251,2001 SM251,['2001 SM251' '77893'],200061463,200062140,678,7
